,scan_type,scan_time,snr (dB),drift (Hz),drift_ppm(ppm),grad_perf(G/cm/ms),coil_type,error_temp (°C),sys_temp (°C),cyro_boiloff(liters/hour),rf_power (%),grad_temp (°C),grad_current (A),x_axis_pos (mm),y_axis_pos (mm),z_axis_pos (mm),preds
1201,Elbow,165,41.26341604,0.015520504,15520.50364,42.87144803,Elbow Coil,34.44659228,34.14542689,4.251109469,46.47401527,34.6990318,36,68.92015012,-159.5105784,183.6988345,No Error
1202,Elbow,453,43.3680401,0.01410438,14104.37994,27.75411724,Elbow Coil,35.47353121,35.96904636,4.336092136,69.6381795,34.29432722,37,97.06227965,-174.5952741,155.1190289,201
1203,Head,382,35.09863573,0.006359707,6359.706849,39.8590332,Head Coil,34.44673828,34.58399697,6.562241153,49.5115627,32.78541498,60,-23.30954554,97.18946337,7.425244498,No Error
1204,Pelvis,522,40.4558346,0.016669351,16669.35079,28.07212714,Pelvis Coil,34.0147133,33.97982862,5.207404763,43.77591906,31.20186969,35,164.3223046,103.8389468,138.6242882,No Error
1205,Head,332,39.51450339,0.019788339,19788.33856,37.97204732,Head Coil,35.49406944,35.11432207,6.435464932,46.66140719,34.72796942,37,166.1996996,-32.57377687,29.83666103,No Error
1206,Angio,619,42.15987125,0.012580793,12580.79334,38.39734853,Angio Coil,35.04763727,34.99709747,5.182490247,47.45123974,34.61012406,60,-22.46505133,-83.82077108,-11.48521319,No Error
1207,Spine,535,36.87017237,0.007392073,7392.072638,27.02605042,Spine Coil,35.10715728,34.73685925,4.728583647,51.55304443,31.82106379,64,-186.0286123,29.04589205,96.72649649,No Error
1208,Abdomen,491,37.13196136,0.019449993,19449.99263,46.35226107,Abdomen Coil,34.6406408,34.45873758,4.901167787,60.4564735,35.44696317,32,-33.01953786,139.9322289,-16.59236976,No Error
1209,Shoulder,264,43.57944761,0.017072476,17072.4757,41.56985822,Shoulder Coil,35.10692228,35.50930318,6.099238203,41.60850923,32.99457711,61,20.69340329,188.3029619,-68.66800131,No Error
1210,Angio,627,41.05184826,0.011780942,11780.94223,33.19500559,Angio Coil,34.75441558,34.79009849,4.33472353,43.95040605,36.71234055,39,-197.1756979,-22.93352505,-3.307613543,No Error
1211,Elbow,492,36.2437991,0.005951654,5951.65383,27.06107797,Elbow Coil,35.47377712,35.38281834,4.295017218,51.89682667,33.75316481,67,158.3173764,83.89755457,128.6322312,No Error
1212,Chest,700,44.12781418,0.010090769,10090.76923,10.61578502,Chest Coil,34.06375462,33.80359115,5.887470528,51.35192428,36.49563844,66,196.1724925,26.50110191,-155.2904366,7
1213,Pelvis,626,42.89128376,0.018451964,18451.96439,35.64586308,Pelvis Coil,34.59310019,34.36421293,13.69618377,49.33829953,37.65978602,46,-81.4169671,-26.48195884,-98.47581986,111
1214,Spine,159,41.33906407,0.045986822,9197.364317,28.10464467,Spine Coil,34.90677982,35.04065688,4.762805134,37.66184118,34.54593079,65,-102.7603082,169.2144099,-184.4591918,102
1215,Angio,188,41.7435622,0.006449646,6449.646117,29.75514496,Angio Coil,35.43686514,35.79664777,6.083782803,64.15029429,37.02056057,50,70.1902403,-115.8458611,-174.3767772,No Error
1216,Shoulder,470,44.38015985,0.014198478,14198.4783,49.95126672,Shoulder Coil,35.09739795,34.82037693,4.121142052,47.90712151,32.35085192,32,-64.84345589,-35.80177305,89.20027537,No Error
1217,Elbow,476,39.62924574,0.016485455,16485.45471,36.60186091,Elbow Coil,34.85349221,34.57971502,2.574221197,48.80108066,33.63430674,66,-40.37112849,-126.7993961,141.306188,No Error
1218,Knee,189,38.9712163,0.019612487,19612.48743,21.02600238,Knee Coil,34.92691277,34.83788516,5.233280612,47.17929216,33.67668962,66,-118.1066777,-4.148076924,46.03907514,No Error
1219,Elbow,469,44.52336562,0.010892029,10892.02881,44.14692184,Elbow Coil,35.20957609,34.84594631,5.863593865,52.42883154,34.37068424,56,-43.29994439,-37.79826636,132.0049205,No Error
1220,Pelvis,648,44.46557597,0.005299818,5299.817925,45.24643278,Pelvis Coil,35.02094891,34.69843607,4.620444804,46.86086161,35.47441937,24,79.96121309,101.8740604,64.28842641,No Error
1221,Spine,151,35.7223668,0.008447688,8447.687961,48.19540627,Spine Coil,34.28756461,34.052735,2.6847405,51.99507461,35.78526912,31,-79.27595177,-34.21237777,102.2423781,No Error
1222,Chest,647,41.59144074,0.008651353,8651.352968,44.39946499,Chest Coil,34.83482801,35.3166658,4.439562981,50.5794153,38.92394974,64,160.4549581,-149.5649494,-2.403607196,No Error
1223,Angio,572,42.42713423,0.01345134,13451.34027,32.08622901,Angio Coil,34.866561,34.94492417,2.510370707,44.20162221,31.96510417,60,-188.0469628,-43.72611023,-56.96172262,No Error
1224,Wrist,506,43.22637825,0.012938584,12938.5837,32.66693852,Wrist Coil,34.90472173,35.34238397,2.961272004,52.77941616,36.48986735,66,-82.35281064,-157.4651665,-58.91785623,No Error
1225,Spine,640,42.27094619,0.010730803,10730.80337,35.62688942,Spine Coil,35.1957343,35.42633986,4.424865203,47.00033806,40.22337387,46,-185.1192736,-148.9284997,153.3541948,No Error
1226,Chest,565,42.45107816,0.008832444,8832.44384,30.05883773,Chest Coil,34.75474667,34.93916962,3.455756042,51.71439271,29.07609334,44,-74.44108199,133.6503451,96.11523242,No Error
1227,Angio,504,38.865889,0.017168077,17168.07684,28.14552382,Angio Coil,35.14375866,35.2683435,6.932430572,55.58529881,37.0650564,68,22.3219093,-30.20405376,-144.323117,No Error
1228,Abdomen,341,38.01765459,0.019462428,19462.42775,20.32035678,Abdomen Coil,34.8499372,34.83018492,6.223044923,41.65160313,34.36350236,22,50.39855804,26.68312591,68.13192914,No Error
1229,Spine,712,42.4786662,0.007924917,7924.917353,22.66910983,Spine Coil,35.25836844,34.88993179,4.74442117,64.88790908,35.33912843,32,84.79046332,-14.48502685,10.18975968,No Error
1230,Abdomen,522,42.62652115,0.00579693,5796.929667,21.17325525,Abdomen Coil,34.5288668,34.43584247,4.280303036,52.41610378,34.76925773,70,-140.5376466,45.77048515,97.9459689,No Error
1231,Foot,428,43.96825218,0.017166609,17166.60925,20.24892608,Foot Coil,35.2667492,35.20707368,2.768554178,51.58956095,34.52049454,67,196.866625,46.48101204,-7.10741725,No Error
1232,Hand,367,36.67150602,0.015100197,15100.1968,36.43746283,Hand Coil,34.70945501,35.17930626,5.836841696,43.0621025,33.12839641,21,56.53775692,-24.4779889,10.7645486,No Error
1233,Chest,316,43.52619041,0.017357145,17357.14523,39.69922901,Chest Coil,34.30712284,33.95005081,3.233708297,39.68212299,35.1490671,65,-119.8861123,91.83970934,34.23873911,No Error
1234,Shoulder,476,44.83434763,0.014078016,14078.01588,36.98915166,Shoulder Coil,35.27322832,35.28482588,4.67157155,51.46375034,33.0593257,59,168.8324758,22.74956341,-9.318698518,No Error
1235,Knee,428,36.81422452,0.011891987,11891.98735,34.63773941,Knee Coil,34.19104651,34.23118795,3.615050657,48.79300774,32.67923082,68,-181.59911,-22.69596792,-104.95245,No Error
1236,Head,184,37.30826661,0.015445063,15445.06278,44.04130294,Head Coil,34.73140988,34.67550267,2.55228625,54.88530173,37.41713943,56,137.4523669,119.0122695,3.384315057,No Error
1237,Pelvis,202,41.1641729,0.006572465,6572.465223,35.75559051,Pelvis Coil,34.39694728,34.25458384,5.470643112,57.87851136,38.96276625,27,133.718769,56.03371547,-116.1255005,No Error
1238,Chest,395,42.81429111,0.006759698,6759.698124,28.21296168,Chest Coil,34.94829397,35.22201983,4.726201766,46.70859979,35.29432205,59,67.56318478,-22.85022375,-187.2236214,No Error
1239,Pelvis,686,40.88131339,0.009641453,9641.452898,43.26419846,Pelvis Coil,34.80710557,34.87460017,5.052512857,52.71363873,37.83668553,61,27.11807437,-26.53862152,23.01253394,No Error
1240,Wrist,436,40.33535998,0.008520648,8520.648037,29.52696175,Wrist Coil,34.69231316,35.17853641,3.57494177,43.23327811,35.35043585,46,12.60680327,-7.367191685,8.976140267,No Error
1241,Elbow,551,41.40765315,0.006037626,6037.625544,35.90947688,Elbow Coil,34.92547048,35.33595879,4.405183229,46.44470786,36.10490612,57,57.15247738,-122.1883385,-151.4349247,No Error
1242,Angio,375,44.61808152,0.013203962,13203.96176,25.22892335,Angio Coil,35.46737878,35.42086469,5.722343979,47.62565548,36.78947919,41,2.485813577,123.3507565,-99.95241886,No Error
1243,Foot,522,42.31078687,0.014125028,14125.02821,30.20496982,Foot Coil,34.42364127,34.64782416,4.356503075,50.3529038,35.37669273,52,-61.84448622,58.79320223,11.51381514,No Error
1244,Knee,452,39.12192673,0.016348033,16348.0329,41.21984132,Knee Coil,34.04149527,33.70005041,3.978599283,42.99347621,38.35864707,66,68.29400568,-27.82494107,108.1162407,No Error
1245,Angio,536,36.43231481,0.007515985,7515.984883,20.01870345,Angio Coil,34.45851643,34.61091141,4.725295557,47.92711115,36.58779104,52,-144.1231739,175.7177639,108.2482994,No Error
1246,Angio,167,39.58497658,0.010464823,10464.82332,13.6314604,Angio Coil,35.09845767,35.05211322,5.058584279,50.16378188,33.3867494,64,124.4415483,100.6069391,-35.81356317,7
1247,Hand,143,37.40044929,0.015188029,15188.0287,43.641309,Hand Coil,35.05436412,35.4355999,4.291418265,42.80266697,34.58459408,29,168.7193543,-76.74256813,47.14138688,No Error
1248,Chest,143,38.17744411,0.007390649,7390.649315,23.41767262,Chest Coil,35.428859,35.05879031,4.86912278,49.75936057,29.93476208,68,12.24713222,-11.66104171,140.4375266,No Error
1249,Foot,123,42.74821589,0.006049256,6049.255589,35.2481525,Foot Coil,34.19319477,34.49872267,4.318709123,43.35827224,33.47869814,42,131.0443683,-146.5022058,122.4128013,No Error
1250,Foot,369,35.01045441,0.015043803,15043.80305,40.27183139,Foot Coil,35.20329213,35.02327322,4.034584899,42.12050561,36.53045551,32,9.2186539,-49.3404977,130.8888824,No Error
1251,Spine,465,40.37111654,0.008577105,8577.104758,25.43205056,Spine Coil,35.39437415,35.07610446,5.572187642,40.85772008,36.21158206,58,-45.91205599,150.9640701,-71.88387725,No Error
1252,Knee,546,35.32375838,0.010936438,10936.4376,43.31481656,Knee Coil,35.24348012,34.77622583,4.814926704,49.17700008,35.44905732,44,-178.323894,-125.0174857,128.0081265,No Error
1253,Head,552,42.93969657,0.007292179,7292.178546,31.23313207,Head Coil,34.24361376,34.44173764,6.716231464,55.69691742,32.8598848,50,87.59700007,56.90704227,-54.95414439,No Error
1254,Hand,576,42.10267917,0.010340241,10340.2407,48.16693842,Hand Coil,34.35339705,34.46954788,5.720858092,49.82258207,35.77315391,47,-10.29778468,31.83721918,-16.50433336,No Error
1255,Knee,246,39.18112117,0.013726103,13726.10314,26.87312989,Knee Coil,35.45528912,35.38460274,6.280799635,47.50555379,37.96155479,36,79.83376678,143.2996,4.078980005,No Error
1256,Shoulder,545,44.21354674,0.01008864,10088.64038,21.2380359,Shoulder Coil,34.67064115,34.90014503,4.431916059,40.32693142,33.76345729,48,12.68171623,128.9148283,-38.50445463,No Error
1257,Wrist,248,41.80647869,0.008422578,8422.577586,33.42910464,Wrist Coil,34.31848437,34.60886303,11.23678499,59.13515,32.52671778,26,79.29661208,-187.3500079,-117.0619574,111
1258,Head,547,43.81080205,0.010250992,10250.99215,45.27580008,Head Coil,34.67713623,34.43433084,5.080255273,44.85257839,36.696293,49,-193.3338321,182.5599052,75.9807331,No Error
1259,Elbow,371,39.72673509,0.009951835,9951.834889,48.39349124,Elbow Coil,34.33304246,34.28880941,5.052891897,61.21294116,34.90972737,52,169.7715882,-100.843359,63.58630791,No Error
1260,Angio,218,41.06472523,0.017688432,17688.43198,31.83558177,Angio Coil,35.47603669,35.55020303,4.087869957,47.77114918,35.89942789,22,147.3991628,-162.4464223,103.7575726,No Error
1261,Shoulder,373,42.26246255,0.015641013,15641.01263,27.52085862,Shoulder Coil,34.17340393,33.87143354,4.546298454,56.79744958,38.13050965,50,135.2168046,-148.4994193,190.5863511,No Error
1262,Spine,566,38.15318422,0.018864873,18864.87312,43.86611484,Spine Coil,35.11426157,35.40582496,5.542977067,40.92871092,33.39715766,26,138.1848909,37.09636987,-102.0063095,No Error
1263,Abdomen,248,38.77010226,0.005893383,5893.383024,32.20481581,Abdomen Coil,34.47329327,34.49428248,6.881782927,42.22600335,34.83051442,33,87.16217358,-20.86687513,36.00391633,No Error
1264,Pelvis,693,42.9696887,0.012952292,12952.29242,39.01025703,Pelvis Coil,34.39730874,34.18729835,6.197185477,51.56635177,36.06661533,46,162.8366072,96.42421143,-21.03076921,No Error
1265,Head,602,36.40531733,0.016714022,16714.02174,42.13204915,Head Coil,34.07380014,33.87830046,4.668526848,41.18964979,33.2492849,31,183.6396234,53.69719933,55.54975407,No Error
1266,Head,616,42.51178153,0.018881704,18881.70363,29.18138227,Head Coil,35.11944809,35.3570003,5.34056642,53.02487281,36.78633916,42,96.84921552,168.5858993,61.70510097,No Error
1267,Pelvis,166,36.78102652,0.015315502,15315.50169,32.55906622,Pelvis Coil,34.09028711,34.54845583,5.53655249,56.20139369,36.24747651,46,-44.69157137,107.3587014,120.6834203,No Error
1268,Spine,565,41.54836773,0.005498527,5498.526953,27.38309699,Spine Coil,34.6552109,34.88258005,3.735965198,48.62877954,34.54549929,29,-48.06475152,-172.8213073,-15.42487924,No Error
1269,Head,180,44.02568091,0.01784954,17849.54034,20.10667075,Head Coil,34.19144327,34.3975935,5.354108606,49.30441695,36.39556312,27,-47.12939571,188.485589,-28.07011766,No Error
1270,Knee,565,43.49770116,0.011934584,11934.5839,47.55826342,Knee Coil,34.68295664,34.25550597,3.342300442,47.86267719,35.66106022,70,118.8409167,2.830238148,-190.235543,No Error
1271,Foot,341,40.549504,0.013668754,13668.75418,29.74030088,Foot Coil,35.17934504,35.14922091,4.545054714,43.47264059,32.98552853,49,7.219884625,193.8267979,-149.6646029,No Error
1272,Foot,164,39.71229998,0.016187074,16187.07358,41.315127,Foot Coil,34.09940545,33.96862287,5.606445719,46.77790472,36.05778539,56,-86.34086277,-124.512692,-124.5867648,No Error
1273,Knee,562,43.91860807,0.016673383,16673.38314,23.73930106,Knee Coil,34.93537788,34.70956738,4.938594862,56.24010342,37.74839117,30,54.69349414,122.8376093,-57.10263371,No Error
1274,Abdomen,642,35.41560044,0.008067903,8067.903313,34.32926497,Abdomen Coil,34.35249392,34.26973901,6.341332668,51.36123324,34.21568182,41,-156.0838827,-49.15853343,-125.823676,No Error
1275,Head,701,43.44013744,0.008657538,8657.5381,47.40510478,Head Coil,35.03999164,34.82453459,4.161981943,48.08208825,34.53240656,20,111.6302748,191.9448417,20.36731969,No Error
1276,Chest,328,44.71436349,0.019780286,19780.28638,21.54026227,Chest Coil,34.96102795,35.33812537,4.601320614,48.84457296,34.7544662,60,74.0525218,-25.66404767,53.87986782,No Error
1277,Abdomen,248,37.88937615,0.012137892,12137.89203,36.11413732,Abdomen Coil,34.8084662,34.34253414,5.600885549,56.06388695,35.47845996,44,120.1053714,84.00841531,-81.97516518,No Error
1278,Chest,316,36.97913072,0.007249842,7249.841762,27.87904342,Chest Coil,34.45046704,34.51406641,4.349475478,60.02079112,37.69731395,58,69.5211457,36.98175119,-144.7857019,No Error
1279,Elbow,151,44.42226735,0.016595721,16595.72093,49.06845815,Elbow Coil,34.49154371,34.58097104,3.812289931,47.44971622,34.92283996,33,36.07927493,33.36882252,17.88735342,No Error
1280,Spine,624,35.36421953,0.011627189,11627.18921,36.50743632,Spine Coil,34.35418535,34.48559779,6.490910946,59.1409166,35.49444308,36,-82.73568789,108.5689909,-30.73027532,No Error
1281,Hand,343,37.23540241,0.015682076,15682.07568,38.95356624,Hand Coil,35.2143127,35.40403237,5.034363638,49.64374807,33.56887621,43,-181.1679858,-3.783611478,-155.3795026,No Error
1282,Shoulder,288,43.9528588,0.011941231,11941.23135,28.8147627,Shoulder Coil,34.26115561,34.2986216,4.964671571,52.8533254,34.97042022,44,-98.02475332,-100.0247457,-147.8163825,No Error
1283,Angio,481,36.45050086,0.017299647,17299.64722,35.18291091,Angio Coil,35.36196235,35.20458634,5.807782026,54.87369561,40.01017296,22,-147.1963238,-111.5554162,-67.99217878,No Error
1284,Pelvis,127,44.66986579,0.019522783,19522.78305,48.97272345,Pelvis Coil,35.34129481,35.77133734,5.126904708,50.95764502,29.26017806,56,33.9624666,-142.7378119,74.27966254,No Error
1285,Knee,217,44.2269482,0.005008798,5008.797628,45.60617773,Knee Coil,34.40067321,33.93850848,6.037523979,49.77146528,34.04203252,56,-25.72355886,-29.13156259,49.9642598,No Error
1286,Hand,305,44.17908873,0.01580454,15804.54046,26.75210947,Hand Coil,34.05037007,33.83700869,12.88495681,46.9170439,32.32340827,36,31.68708219,59.64158331,-24.56789787,111
1287,Hand,455,41.74946685,0.011424116,11424.11578,22.12170572,Hand Coil,34.21045491,34.17807441,6.384233659,47.26970181,33.40406782,67,-197.629604,-197.7357647,170.4670472,No Error
1288,Abdomen,217,43.80961207,0.014927901,14927.90095,44.27722631,Abdomen Coil,34.53286583,34.1910932,4.765313003,51.5082986,32.62321666,38,29.00684296,172.5299057,39.04138652,No Error
1289,Wrist,511,36.70783986,0.011146292,11146.29205,43.88802773,Wrist Coil,35.03434604,35.41458747,5.858713666,44.26563185,38.57943974,26,-43.55623746,54.89286773,149.8911745,No Error
1290,Elbow,228,39.97691745,0.009081355,9081.354977,36.43389281,Elbow Coil,34.69766651,35.12578038,5.454440456,63.14532995,38.74647512,25,-187.6364344,131.6120773,107.3070354,No Error
1291,Elbow,618,38.51230389,0.010399152,10399.15249,34.74791933,Elbow Coil,34.08810489,34.51817169,2.935780752,47.34786516,36.47494761,35,-29.94849608,-95.95021145,15.6226205,No Error
1292,Elbow,461,43.77556946,0.006400146,6400.14648,46.67458596,Elbow Coil,35.42095399,35.77786515,5.677530108,45.46569935,35.10451654,32,25.11403507,-55.04742863,-193.0202955,No Error
1293,Hand,679,42.93724461,0.006189715,6189.714813,43.3373124,Hand Coil,35.30133695,35.68930481,5.207130774,36.98556543,35.54725909,52,-89.3862255,14.31243565,-156.8963343,No Error
1294,Knee,314,36.46875573,0.01227644,12276.44001,49.74821406,Knee Coil,34.96700989,35.33151951,6.011026198,44.3271258,32.88070811,30,-123.5536898,83.64285132,-115.3045747,No Error
1295,Chest,227,36.93593243,0.017122338,17122.33792,31.73013689,Chest Coil,34.58333257,35.00542471,3.420288611,43.4725527,37.60168561,44,-40.01192301,159.184141,-91.72101944,No Error
1296,Foot,296,43.57093673,0.011733754,11733.75392,14.15122815,Foot Coil,35.48572864,35.46557703,6.802269658,43.66448159,32.93187747,70,-116.364616,-136.4634967,163.5853574,7
1297,Chest,368,43.30632621,0.008573633,8573.632736,31.78629979,Chest Coil,34.42737417,34.737232,4.100697869,57.44700159,35.21133638,67,53.72576501,-122.5610523,-191.7475943,No Error
1298,Shoulder,585,39.02309954,0.01125323,11253.23042,39.18372641,Shoulder Coil,34.41948369,34.43824639,5.045877353,47.63152374,30.11360238,32,189.245208,-161.5963647,178.4652398,No Error
1299,Chest,597,36.66349496,0.016157763,16157.76308,45.76315418,Chest Coil,35.14916294,35.47259003,3.461367011,53.6329351,35.2337251,52,53.02660769,104.8684372,37.30992698,No Error
1300,Knee,256,37.3437005,0.016127689,16127.68887,36.81195509,Knee Coil,34.7067091,34.77695523,5.947632083,48.85277095,34.11774017,37,27.46343729,125.8485716,-97.10734447,No Error
1301,Angio,153,43.64585421,0.087110728,17422.14557,23.37926981,Angio Coil,34.66728579,34.30672884,5.453798218,51.0408201,35.72479379,24,-91.11988089,-50.6287124,111.7742983,102
1302,Wrist,121,38.64252016,0.005026985,5026.985007,28.48050772,Wrist Coil,35.47453198,35.76297775,4.702473798,42.67269778,34.69433841,29,76.13664594,-175.433917,36.67902795,No Error
1303,Pelvis,686,42.24633054,0.01952043,19520.42988,31.05951033,Pelvis Coil,35.39890677,35.69852117,5.096120561,46.684887,36.30503814,38,124.0314255,-163.3711469,-95.34285285,No Error
1304,Head,397,38.0563231,0.006022687,6022.686609,48.860947,Head Coil,34.4640403,34.00028762,3.6230638,54.70639514,34.79664073,37,53.82658484,-42.38847249,99.16230025,No Error
1305,Elbow,508,43.02983983,0.006551794,6551.79351,35.71258994,Elbow Coil,34.52304591,34.84182778,5.031126,49.37724096,34.55425523,53,-120.664845,-130.7269569,-95.20648863,No Error
1306,Pelvis,515,37.57784367,0.011857534,11857.53352,41.06470982,Pelvis Coil,34.34249831,33.88889453,4.934000141,47.52137444,34.68587723,33,143.3232108,14.15474447,-35.30508104,No Error
1307,Knee,706,42.88377769,0.011467836,11467.83643,49.10312715,Knee Coil,34.89327255,34.65081698,5.306715249,55.3967164,35.01367965,58,8.617101125,-109.6488601,-132.0228312,No Error
1308,Foot,386,40.68912192,0.018844221,18844.22053,48.85244442,Foot Coil,35.37732322,35.86270643,3.342860703,56.41348178,34.80212723,46,-54.0175353,-3.844923522,127.1757968,No Error
1309,Elbow,717,36.28541769,0.013183402,13183.40187,44.64328387,Elbow Coil,34.43162,34.72854197,4.390638259,45.13284327,31.84970213,30,-147.6678587,177.9771069,91.55279186,No Error
1310,Abdomen,504,42.37053535,0.007952931,7952.930594,31.03594982,Abdomen Coil,35.03663033,35.10059692,4.750509823,43.90646937,38.71849265,45,154.4746592,158.703682,187.2864888,No Error
1311,Spine,188,41.11992287,0.006242344,6242.344165,45.59414431,Spine Coil,34.52083893,34.06683041,5.729525931,48.67266209,34.25689647,62,13.8065798,155.2474399,116.6465865,No Error
1312,Spine,410,38.71562235,0.014176299,14176.29865,48.96348541,Spine Coil,34.85752758,34.41496414,4.460373233,53.19357328,35.89163598,42,196.0760693,-153.6401201,-6.384064229,No Error
1313,Abdomen,640,37.17324216,0.006894941,6894.940991,32.6400974,Abdomen Coil,34.62084525,34.3087648,5.39153932,48.43816494,36.40087879,24,-81.60405054,171.1499598,28.25576326,No Error
1314,Foot,174,43.64783614,0.018954102,18954.10177,47.19070316,Foot Coil,34.05715567,34.51388303,5.128938663,60.02108411,30.69692975,70,-53.97489988,131.4487849,-16.74595322,No Error
1315,Pelvis,382,44.35731296,0.018896176,18896.17585,29.59848374,Pelvis Coil,34.18711729,33.69759074,5.329596251,58.61208077,35.84512729,67,142.0651242,-105.5010673,141.2004063,No Error
1316,Elbow,272,38.23903272,0.005935077,5935.07677,35.62051059,Elbow Coil,34.54954841,34.14717987,6.359255916,54.00615549,36.4636824,52,-99.12414408,-188.5873162,29.2919566,No Error
1317,Head,148,39.31941587,0.008699178,8699.178149,15.15163569,Head Coil,34.50113208,34.76022747,6.150389228,48.32400441,33.83717299,53,-110.8289375,-97.72750755,141.1708165,7
1318,Shoulder,709,44.33439375,0.01453066,14530.65972,44.36009301,Shoulder Coil,34.62704158,34.8193979,3.9773532,51.01304727,33.25560739,21,-59.7829346,-1.012739038,41.12438474,No Error
1319,Spine,561,44.21361875,0.011373693,11373.69314,42.17528988,Spine Coil,34.02806922,33.78893001,4.886781147,44.47286948,36.44618789,33,73.77136767,-141.5756088,41.70051472,No Error
1320,Head,450,39.01935769,0.007350861,7350.860874,39.35899378,Head Coil,34.75307545,34.98836365,5.71919154,48.23852448,36.71374395,34,62.54546466,23.25968156,-73.33088871,No Error
1321,Knee,262,36.91301264,0.009429899,9429.899215,45.3056185,Knee Coil,35.00459397,35.27945114,3.70565306,54.90849924,35.95811957,48,157.0184928,107.705023,-16.10679138,No Error
1322,Abdomen,207,43.96718045,0.008592177,8592.177483,40.86167451,Abdomen Coil,34.43293518,34.5837606,5.932685031,65.84201273,39.17350965,65,183.9786634,184.0585408,0.706097216,No Error
1323,Shoulder,523,40.39484658,0.016989526,16989.52557,20.30651133,Shoulder Coil,35.15095073,35.50776957,4.870272914,50.74140709,33.86666978,35,80.68175524,-111.0844836,91.2297306,No Error
1324,Wrist,642,36.25780811,0.012947062,12947.06239,28.34384376,Wrist Coil,34.23366273,34.4674344,5.087094104,59.86624331,32.89906121,62,172.8997078,118.4188103,88.33291912,No Error
1325,Spine,284,44.38556244,0.009572459,9572.459255,31.33788902,Spine Coil,35.00155961,34.91305403,5.504920092,48.51412131,32.89974276,25,-181.3049257,-145.7647554,139.3005865,No Error
1326,Shoulder,460,41.25010554,0.013616456,13616.45627,36.58324419,Shoulder Coil,34.05751936,33.9175545,4.04636027,56.17638947,34.09892035,57,-58.39816569,75.83238581,-97.88379912,No Error
1327,Chest,687,39.20249156,0.019698633,19698.63292,33.79496176,Chest Coil,35.04636325,35.11143041,3.194867981,53.66015157,31.21987466,69,126.3970844,-97.43468566,-174.1763682,No Error
1328,Head,227,40.71779715,0.008468374,8468.373684,25.43073767,Head Coil,34.99047224,34.68725924,5.25656603,52.01099367,34.99270881,33,-155.2294555,177.6679757,85.07821075,No Error
1329,Elbow,310,37.19944409,0.016046245,16046.24502,39.86286261,Elbow Coil,35.22266209,34.93295783,4.144803096,48.87058986,36.32855219,42,-185.7225075,61.83400576,99.58390837,No Error
1330,Pelvis,561,43.7857737,0.008795303,8795.302575,42.31799899,Pelvis Coil,35.06247316,34.98949709,6.934194833,45.02741721,34.46187203,22,109.8161131,57.78940493,-36.26557458,No Error
1331,Abdomen,129,35.21225815,0.01205075,12050.75049,36.36145045,Abdomen Coil,34.05296972,33.79556025,5.296701327,51.98796318,38.63657599,57,32.36987835,-35.18449614,70.40079065,No Error
1332,Angio,639,39.5970276,0.008719075,8719.074747,27.9726266,Angio Coil,34.74659407,35.08832352,5.555701203,51.50043965,36.26811688,52,-165.8475541,-107.9488011,-175.7412825,No Error
1333,Hand,428,44.20147321,0.007374943,7374.943249,43.88795136,Hand Coil,34.940346,35.1066812,4.644503204,48.70313212,37.06942622,49,194.6158187,-102.1275742,41.16664287,No Error
1334,Foot,400,42.48459587,0.005009235,5009.234771,33.91545894,Foot Coil,34.97632719,35.46633447,4.708045668,66.21144504,35.87582973,55,19.28575522,96.36115546,152.479383,201
1335,Wrist,375,43.13557254,0.011764975,11764.97477,40.12071169,Wrist Coil,35.3210644,35.12379069,4.555102182,50.13441305,32.5953583,38,17.49496699,186.5735003,-86.82620221,No Error
1336,Knee,484,43.90512216,0.008137385,8137.384548,23.65323247,Knee Coil,34.10824211,33.65957913,5.883813351,48.66482756,33.46462069,59,61.7642514,-111.7476951,156.8771499,No Error
1337,Wrist,268,42.76571034,0.006092128,6092.128282,26.17543119,Wrist Coil,35.31707482,34.91571776,5.155555128,39.75812921,36.92356928,50,-174.7691563,-3.15478742,124.3979249,No Error
1338,Spine,319,44.04586077,0.019741786,19741.78631,22.62237627,Spine Coil,34.98605143,34.81262873,6.535741002,52.36181704,33.03223301,37,96.26474479,3.239157131,98.74473657,No Error
1339,Abdomen,370,36.30482085,0.00765762,7657.620136,13.27780302,Abdomen Coil,35.35074065,34.86451649,4.281763246,46.82880377,38.25579581,24,-145.7172477,-106.5036251,-187.7338964,7
1340,Shoulder,632,40.03912668,0.007678288,7678.287903,40.6244519,Shoulder Coil,34.34566384,34.34288005,3.924976826,51.45957614,33.25263394,70,111.2631896,112.0888149,-43.01798993,No Error
1341,Foot,421,44.33964589,0.009071789,9071.789497,34.59048303,Foot Coil,34.14530032,34.03109263,4.410759432,53.77579572,35.39170964,61,-90.99783253,89.79688935,50.13473574,No Error
1342,Knee,198,41.42107691,0.018415197,18415.19667,29.10868828,Knee Coil,35.23647035,35.60156758,4.576451157,50.88445717,35.30660248,21,3.52075821,-158.4143999,-73.54859342,No Error
1343,Head,485,42.32630422,0.015661102,15661.10188,46.90516231,Head Coil,34.52259665,34.42539928,4.390762902,55.37367885,35.54818203,55,-123.3006642,130.5074241,179.6443038,No Error
1344,Wrist,689,36.93864016,0.016892188,16892.18845,47.88754258,Wrist Coil,35.19398467,35.38265495,6.298867131,53.24736493,38.84938374,64,35.43509398,-12.99717311,70.54569122,No Error
